NOM_EQUIPO,NUM_JUGADORES,EDAD_PROM,NUM_EXTRANJEROS,VALOR_MER_EQ,VM_PROM_JUGADOR,UNI_MONEDA
fc_barcelona,24,27.2,18,1170.0,48.63,millones
real_madrid,25,26.1,13,973.8,38.95,millones
atletico_de_madrid,23,26.6,13,908.5,39.5,millones
valencia_fc,22,26.2,13,340.5,15.48,millones
sevilla_fc,24,27.5,15,284.5,11.85,millones
celta_de_vigo,24,25.7,14,224.7,9.36,millones
real_sociedad,24,25.8,7,224.3,9.35,millones
real_betis,22,27.0,9,209.25,9.51,millones
athletic_club,27,27.5,1,196.0,7.26,millones
villarreal,23,28.8,7,183.0,7.96,millones
rcd_espanyol,23,28.2,8,110.5,4.8,millones
girona,23,27.2,8,108.3,4.71,millones
leganes,27,26.8,14,93.5,3.46,millones
levante,24,26.7,8,89.2,3.72,millones
getafe,23,28.1,13,86.0,3.74,millones
alaves,23,26.2,9,85.45,3.72,millones
sd_eibar,22,28.9,7,76.8,3.49,millones
rayo_vallecano,27,27.5,11,65.1,2.41,millones
valladolid,23,27.4,4,63.1,2.74,millones
huesca,23,27.7,8,37.8,1.64,millones
